Player,BODY FAT,HEIGHT_NO_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,Year
Tony Bradley,12.00%,81.25,9' 4.5'',248.8,89.0,2017
Isaiah Briscoe,11.00%,73.25,8' 3.5'',222.4,81.0,2017
Dillon Brooks,7.50%,77.0,8' 4.5'',220.2,78.0,2017
Thomas Bryant,9.40%,81.5,9' 4.5'',247.8,90.0,2017
John Collins,5.40%,80.25,8' 10.5'',225.2,83.25,2017
Zach Collins,8.90%,82.25,9' 3'',232.2,85.0,2017
Hamidou Diallo,5.20%,75.75,8' 5.5'',197.4,83.25,2017
Tyler Dorsey,4.70%,75.0,8' 3.5'',182.6,77.25,2017
Damyean Dotson,5.30%,76.5,8' 4'',205.2,81.0,2017
PJ Dozier,6.10%,77.25,8' 5'',200.6,83.0,2017
Jawun Evans,9.10%,70.75,7' 11'',185.2,77.5,2017
Terrance Ferguson,5.80%,77.5,8' 7'',184.4,80.75,2017
De?Aaron Fox,4.50%,74.0,8' 4'',169.6,78.5,2017
Kyle Kuzma,9.40%,80.0,8' 11.5'',222.6,84.25,2017
TJ Leaf,6.80%,80.75,8' 11'',222.2,83.0,2017
Tyler Lydon,13.60%,80.25,8' 11.5'',215.0,84.0,2017
Frank Mason,PG,116.0,0'' 7',10'',2271.6000000000004,2017
Kennedy Meeks,11.50%,80.75,8' 10'',276.6,85.0,2017
Donovan Mitchell,5.90%,73.25,8' 1'',211.4,82.0,2017
Monte Morris,6.90%,73.25,8' 0.5'',175.2,76.0,2017
Johnathan Motley,-%,79.75,9' 0'',238.2,88.0,2017
Svi Mykhailiuk,11.40%,78.5,8' 4'',219.6,77.0,2017
